"","NAME","percent.latino.2016","percent.latino.2020"
"1","Alabama",3.99703459746458,5.25542072802884
"2","Alaska",6.65409069626996,6.79364759043948
"3","Arizona",30.5391318253473,30.65444154249
"4","Arkansas",6.97493525288431,8.52880468493693
"5","California",38.5572064266435,39.4040268324654
"6","Colorado",21.1276296602445,21.8817558334202
"7","Connecticut",14.9844645638792,17.2851547334068
"8","Delaware",8.8437404714907,10.5348967824573
"9","District of Columbia",10.4863514762317,11.2613389989051
"10","Florida",24.1133001355292,26.4518085946603
"11","Georgia",9.17873678623907,10.4879261472373
"12","Hawaii",10.0325181283083,9.54619448886152
"13","Idaho",11.959097098533,13.0175748434294
"14","Illinois",16.6240782141858,18.243188609131
"15","Indiana",6.51820192431139,8.16724947564876
"16","Iowa",5.55937718185444,6.76993789746578
"17","Kansas",11.3080048525131,13.0230982885618
"18","Kentucky",3.33058400644245,4.61299523551234
"19","Louisiana",4.80895113083796,6.92498556708733
"20","Maine",1.48670261360996,1.95315625323428
"21","Maryland",9.23078936532849,11.8134780283182
"22","Massachusetts",10.8532109152832,12.6272472349247
"23","Michigan",4.78708525066602,5.60090762127393
"24","Minnesota",5.06389074180479,6.05695896639863
"25","Mississippi",2.90058316762523,3.55319441363006
"26","Missouri",3.91580307182707,4.92400136281374
"27","Montana",3.40446613269024,4.16878415458046
"28","Nebraska",10.1954063741356,11.9660729725761
"29","Nevada",27.8425188752214,28.6752878135575
"30","New Hampshire",3.27682875292937,4.31598899188329
"31","New Jersey",19.2904434725492,21.558577818007
"32","New Mexico",47.8151352903414,47.7355607167245
"33","New York",18.5908719079828,19.5435044635111
"34","North Carolina",8.90029482453574,10.7151492022329
"35","North Dakota",3.12390479269509,4.28857108384868
"36","Ohio",3.46020576095106,4.41807108264726
"37","Oklahoma",9.84281356975675,11.9193969317714
"38","Oregon",12.4252341693814,13.8947705779401
"39","Pennsylvania",6.5954749449252,8.07228498696425
"40","Rhode Island",14.0707696888831,16.5941757587853
"41","South Carolina",5.34399397675715,6.89348774281151
"42","South Dakota",3.42949599204755,4.36928407169772
"43","Tennessee",4.99915317770638,6.93384595794433
"44","Texas",38.6295517192834,39.2572268004963
"45","Utah",13.4958403243492,15.066315851249
"46","Vermont",1.74052174135208,2.41090880252287
"47","Virginia",8.72521945955989,10.5284164444835
"48","Washington",12.0777232648669,13.7465849720471
"49","West Virginia",1.42176012896432,1.94161171556701
"50","Wisconsin",6.45035672842035,7.58926708064417
"51","Wyoming",9.67121704066179,10.2359188074563
"52","Puerto Rico",98.9454536696903,98.8791110066911
